English Word,Marathi Meaning
I,मी
was,होता / होती
going,जात
We,आम्ही
were,होतो / होते
writing,लिहित
thinking,विचार करत
saying,सांगत
He,तो
coming,येत
telling,सांगत
me,मला
looking,पाहत
at,कडे
you,तुझी
praising,स्तुती करत
nuts,शेंगदाणे
Waves,लाटा
crashing,आडळत
on,वर
the,तो
shore,किनारा
People,लोक
drawing,काढत
water,पाणी
from,पासून
a,एक
well,विहीर
feeling,वाटत
strange,विचित्र
funny,गोंधळल्यासारखा
The,तो
TV,टीव्ही
functioning,चालू
normally,व्यवस्थित
until,पर्यंत
yesterday,काल
wind,वारा
blowing,वाहत
river,नदी
flowing,वाहत
Buffalos,म्हशी
wallowing,लोळत
in,मध्ये
buffalo,म्हैस
waiting,वाट पाहत
turn,क्रमांक
queue,रांगेत
sweating,घाम गाळत
reading,वाचत
this,ह्या
book,पुस्तक
time,वेळ
dress,कपडे
new,नवीन
